Time,Value,DC
1443471300,17302.08056,S
1443471600,17628.20833,S
1443471660,16344.51746,S
1443471960,18174.72921,S
1443472020,17796.54667,S
1443472320,17222.82389,S
1443472380,17231.16556,S
1443472680,16402.43611,S
1443472740,16595.39286,S
1443473040,-154653.1849,S
1443473100,-155527.771,S
1443473400,15896.11508,S
1443473460,16044.12183,S
1443473820,16302.06944,S
1443474120,16344.21659,S
1443474180,14989.24,S
1443474480,15101.96,S
1443474540,15786.60167,S
1443474840,-599792.8623,S
1443475200,-4605179.815,S
1443475260,-4656151.122,S
1443475560,-802533.9795,S
1443475620,1032.790606,S
1443475920,17133.88778,S
1443475980,16265.37111,S
1443476280,16661.13889,S
1443476340,16751.82778,S
1443476640,15992.67333,S
1443476700,15839.82778,S
1443477000,16001.175,S
1443477060,15104.41468,S
1443477420,16191.17738,S
1443477720,16141.50833,S
1443477780,14341.68333,S
1443478080,14247.63333,S
1443478140,14562.11667,S
1443478440,15024.58579,S
1443478800,14067.37374,S
1443479160,14043.63763,S
1443479220,13055.60635,S
1443479520,15176.32063,S
1443479580,15056.80556,S
1443479880,13892.40611,S
1443479940,13775.08214,S
1443480120,14279.14028,S
1443480180,14155.69444,S
1443480480,13505.35167,S
1443480540,13568.52389,S
1443480840,13517.29889,S
1443480900,13199.24286,S
1443481200,12456.08452,S
1443481260,12006.65714,S
1443481560,13093.02611,S
1443481620,12984.86222,S
1443481920,12770.76333,S
1443481980,12484.01468,S
1443482280,12428.62302,S
1443482340,12308.22024,S
1443482640,12456.57825,S
1443482700,12376.01,S
1443483000,12386.70722,S
1443483060,12018.88492,S
1443483360,12337.15944,S
1443483420,12284.76778,S
1443483720,12173.30556,S
1443483780,12189.38056,S
1443484080,11626.70278,S
1443484140,11651.34365,S
1443484440,11217.27976,S
1443484500,11483.05556,S
1443484800,10537.67,S
1443484860,10457.21167,S
1443485160,11067.19222,S
1443485220,10477.94921,S
1443485520,11383.76611,S
1443485880,11606.53333,S
1443486240,12923.86111,S
1443486600,13752.15833,S
1443486660,13361.3754,S
1443486960,13489.67778,S
1443487320,13294.47222,S
1443487680,13245.39444,S
1443487740,12928.32579,S
1443488040,13142.24246,S
1443488100,12689.77817,S
1443488400,12199.07619,S
1443488460,12194.23056,S
1443488760,12904.33056,S
1443488820,12884.525,S
1443489120,13017.98389,S
1443489480,14273.77333,S
1443489540,13198.24762,S
1443489840,13472.30317,S
1443489900,13421.1619,S
1443490200,13752.32444,S
1443490560,14491.81667,S
1443490620,13547.84524,S
1443490920,14153.97746,S
1443490980,14236.87667,S
1443491280,13277.16556,S
1443491340,13140.01389,S
1443491640,13367.80556,S
1443491700,13352.81429,S
1443492000,11765.13167,S
1443492060,11760.67056,S
1443492360,12690.61944,S
1443492420,12374.99683,S
1443492720,12849.04778,S
1443493080,13371.82,S
1443493140,12754.84286,S
1443493440,12684.475,S
1443493800,12417.87833,S
1443493860,12376.14405,S
1443494160,12225.91071,S
1443494220,12152.30079,S
1443494520,12206.8119,S
1443494580,12206.51548,S
1443494880,11643.72722,S
1443494940,11616.99667,S
1443495240,12079.56056,S
1443495300,11756.47302,S
1443495600,10531.15992,S
1443495660,10632.97222,S
1443495960,10023.17,S
1443496020,10018.47556,S
1443496320,10767.41444,S
1443496380,10304.64802,S
1443496680,10568.62381,S
1443496740,10611.34722,S
1443497040,10665.24167,S
1443497100,9951.32619,S
1443497400,10330.15444,S
1443497760,10877.46167,S
1443497820,10495.05357,S
1443498120,10287.3,S
1443498480,10310.41389,S
1443498840,9845.172222,S
1443498900,9809.940079,S
1443499200,8941.667857,S
1443499260,8853.614286,S
1443499560,8550.262778,S
1443499620,8488.451667,S
1443499920,7991.025,S
1443500280,8354.566431,S
1443500340,8090.229923,S
1443500640,8039.35627,S
1443500700,8056.592778,S
1443501000,8068.728889,S
1443501060,8082.113095,S
1443501360,6802.755159,S
1443501420,6932.65,S
1443501720,7182.85,S
1443501780,7121.622222,S
1443502140,7210.369444,S
1443502440,7611.354206,S
1443502500,7384.460556,S
1443502800,6166.24,S
1443502860,6233.753889,S
1443503160,6249.684444,S
1443503220,6223.603889,S
1443503520,6198.431667,S
1443503580,6170.614286,S
1443503880,5618.21,S
1443504240,5527.290556,S
1443504300,5403.162302,S
1443504600,5554.578968,S
1443504660,5423.677381,S
1443504960,5305.91,S
1443505320,5433.404444,S
1443505380,5067.187302,S
1443505680,4869.939762,S
1443505740,4865.521111,S
1443506040,4645.349125,S
1443506100,4634.733808,S
1443506400,4061.663968,S
1443506460,4022.918333,S
1443506760,4264.648732,S
1443506820,4266.170954,S
1443507120,4138.024814,S
1443507180,4109.623624,S
1443507480,4132.937698,S
1443507540,4037.725736,S
1443507840,3988.686847,S
1443507900,3995.09246,S
1443508200,3923.213333,S
1443508560,3680.438333,S
1443508620,3603.829762,S
1443508920,3555.415714,S
1443508980,3558.949426,S
1443509280,3210.645556,S
1443509640,3245.663889,S
1443510000,2932.483333,S
1443510060,2893.598413,S
1443510360,2938.093889,S
1443510720,2823.832778,S
1443510780,2760.648413,S
1443511080,2677.975635,S
1443511140,2680.068889,S
1443511440,2611.991111,S
1443511500,2633.23254,S
1443511800,2401.293016,S
1443511860,2397.583889,S
1443512160,2198.099705,S
1443512220,2197.352483,S
1443512520,2204.956111,S
1443512880,2184.25,S
1443513240,2226.952778,S
1443513300,2162.724603,S
1443513600,1942.075952,S
1443513660,1976.325556,S
1443513960,2036.253816,S
1443514020,2027.18715,S
1443514320,1979.466667,S
1443514380,1977.702778,S
1443514680,1790.816667,S
1443514740,1793.713889,S
1443515040,1782.046667,S
1443515100,1758.572222,S
1443515400,1674.781111,S
1443515760,1790.27,S
1443515820,1730.813492,S
1443516120,1661.243968,S
1443516180,1667.817778,S
1443516480,1600.265556,S
1443516840,1651.098889,S
1443516900,1606.361508,S
1443517200,1455.040215,S
1443517260,1458.06323,S
1443517560,1571.203889,S
1443517620,1546.138095,S
1443517920,1434.963492,S
1443517980,1439.630556,S
1443518280,1547.113889,S
1443518340,1549.925,S
1443518640,1645.858889,S
1443518700,1642.57,S
1443519000,1691.417222,S
1443519060,1617.578968,S
1443519360,1727.956111,S
1443519420,1726.375556,S
1443519720,1669.473333,S
1443519780,1626.639683,S
1443520080,1555.741667,S
1443520440,1633.638333,S
1443520500,1616.865476,S
1443520800,1586.887698,S
1443520860,1577.721825,S
1443521160,1699.346825,S
1443521220,1614.571429,S
1443521520,1665.952778,S
1443521580,1666.388889,S
1443521880,1810.203333,S
1443521940,1800.336905,S
1443522240,1762.075436,S
1443522300,1791.452008,S
1443522600,1690.080144,S
1443522660,1684.751587,S
1443522960,1782.071032,S
1443523020,1708.307143,S
1443523320,2091.295535,S
1443523380,2091.298313,S
1443523680,2045.630556,S
1443524040,2178.662778,S
1443524100,2174.545635,S
1443524400,2372.962302,S
1443524460,2355.911111,S
1443524760,2300.485397,S
1443524820,2326.573889,S
1443525120,2383.482222,S
1443525180,2375.298413,S
1443525480,2610.299444,S
1443525540,2608.793889,S
1443525840,2855.726111,S
1443525900,2849.900794,S
1443526200,2966.173016,S
1443526260,2924.357143,S
1443526560,2982.161508,S
1443526620,3006.327778,S
1443526920,3048.02,S
1443526980,3128.492222,S
1443527280,3240.228333,S
1443527640,3566.84,S
